"Combination_1","Combination_2","Combination_3","Combination_4","Combination_5","Combination_6","Combination_7","Combination_8","Combination_9","Combination_10"
82,96,96,110,110,46,72,56,82,68
128,98,102,104,110,46,64,62,64,78
82,128,96,106,110,72,52,56,94,68
90,118,96,106,110,94,66,56,64,68
88,116,128,106,110,86,52,62,78,68
82,124,96,104,110,76,64,64,70,86
84,118,100,134,110,72,68,70,64,68
82,110,110,108,120,62,54,92,82,68
122,120,114,104,110,58,66,56,64,68
82,118,96,104,110,52,52,56,64,86
88,136,96,104,110,46,52,64,64,68
102,122,96,160,110,46,52,62,64,68
110,118,96,136,110,54,62,56,64,74
82,90,96,104,128,58,64,72,64,68
88,116,96,118,120,46,56,56,64,68
110,106,96,104,126,112,52,56,64,72
86,142,130,106,110,46,66,56,74,80
88,106,98,104,118,52,72,76,86,74
90,108,96,104,110,60,52,72,70,68
140,90,100,104,122,56,52,70,64,68
110,136,136,104,124,52,80,56,66,88
118,108,96,104,110,62,58,56,76,68
90,114,100,104,110,46,52,78,64,68
108,106,96,104,110,62,58,82,68,68
98,90,138,126,142,64,64,60,64,80
82,110,118,112,110,76,64,56,68,84
122,94,140,104,110,80,80,80,64,74
96,90,120,156,114,58,60,56,72,68
82,94,96,104,126,68,78,62,64,68
82,148,120,120,110,46,80,56,82,68
92,134,104,104,110,56,60,94,64,68
88,90,96,104,110,46,52,56,64,68
108,102,96,104,110,46,52,64,80,68
152,128,96,104,110,54,52,56,64,88
136,90,104,104,130,50,52,90,72,68
110,120,96,156,110,46,58,70,64,68
82,90,114,104,110,80,52,56,64,72
118,90,118,108,110,60,60,70,64,80
102,140,96,104,110,46,54,56,64,74
102,90,96,148,116,50,52,76,64,74
82,108,114,104,110,54,52,72,64,68
122,110,96,104,110,98,52,94,64,76
90,116,98,104,110,46,60,76,64,68
112,116,96,104,110,70,52,74,64,80
100,100,96,104,130,88,52,64,64,68
140,90,96,104,114,66,52,82,74,68
82,90,114,146,110,66,72,98,64,68
84,94,154,104,110,52,86,56,64,68
90,108,104,104,110,62,52,56,64,68
82,100,128,104,110,80,80,70,64,68
82,144,118,104,110,50,62,56,64,68
82,132,96,112,110,78,52,98,64,68
96,90,96,104,110,66,66,100,64,68
82,90,104,104,110,60,66,58,64,68
102,96,96,104,110,72,72,60,64,82
90,90,152,104,110,68,58,60,64,70
98,120,104,104,128,50,80,96,72,68
108,96,96,120,118,54,52,56,64,68
114,90,96,104,116,46,62,58,74,68
112,100,106,104,110,76,66,56,76,78
130,90,104,104,114,52,56,56,64,68
154,112,162,104,110,110,52,82,64,68
98,108,96,104,116,64,72,80,72,68
124,122,138,104,110,66,60,56,64,76
96,90,96,104,110,56,52,56,64,68
122,90,100,110,110,56,76,56,64,68
88,90,96,104,110,62,66,68,78,68
114,94,142,104,110,94,52,62,88,72
88,110,166,104,110,46,58,74,64,68
108,116,96,104,110,46,52,78,74,74
102,104,114,106,110,46,52,56,82,68
92,92,96,104,110,50,72,74,64,68
82,110,96,104,110,50,52,58,64,68
82,90,132,112,152,58,52,92,76,68
152,114,96,104,138,46,52,80,82,68
108,96,96,104,114,142,52,56,64,86
82,90,100,104,118,46,98,76,64,68
82,128,104,106,130,46,62,68,64,86
106,150,96,104,110,74,56,76,64,68
100,104,96,104,110,90,66,56,68,70
96,142,108,104,110,72,52,56,64,68
110,90,96,104,124,46,86,56,64,80
92,90,110,104,120,60,52,62,64,72
82,120,96,112,110,46,58,74,64,68
154,106,102,104,110,86,56,56,64,82
94,90,96,104,110,46,52,68,64,68
120,90,96,104,110,52,52,56,64,68
98,124,116,104,110,92,60,56,68,68
122,102,96,104,110,46,62,56,64,68
96,90,96,104,110,52,52,58,64,68
84,108,96,104,110,66,52,74,64,68
126,116,100,114,110,66,52,68,64,98
116,102,96,132,110,64,60,96,68,68
82,90,96,128,110,50,64,62,64,68
100,96,96,112,110,46,84,78,64,68
82,124,96,104,110,50,62,64,64,70
86,104,96,104,110,68,52,68,64,90
122,104,96,108,110,46,88,56,64,68
88,90,142,160,110,46,52,56,64,72
130,90,96,104,120,46,78,62,64,68
94,108,110,124,114,60,64,56,64,68
82,124,96,104,110,68,54,76,104,68
84,116,96,122,110,52,74,60,64,68
92,98,96,104,110,66,52,70,66,68
86,98,98,140,110,50,56,56,64,68
82,90,96,104,110,46,52,60,72,68
100,102,96,104,110,50,52,56,70,68
96,96,96,104,110,74,52,64,70,72
94,102,96,104,110,58,52,92,64,68
82,90,96,104,110,72,52,64,64,72
